Seed / Plant,Crop Yield,Seed Yield,Grow Time (Indoor),Wilt Time (hours),All plants wither (die) after 24h of wilting (turning purple) without being tended,,,,,,,,,,,,,,,,,,
Eggplant Knight,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Faerie Apple,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Firelight,50 / 65 / 80 / 100,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Garlic Cloves,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Garlic Jester,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Glazenut,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Gysahl Greens,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,24.0,,,,,,,,,,,,,,,,,,,
Halone Gerbera,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,36.0,,,,,,,,,,,,,,,,,,,
Han Lemon,1 / 1 / 1 / 1,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Honey Lemon,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Hyacinth,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Hydrangea,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Icelight,50 / 65 / 80 / 100,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Jute,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Krakka Root,9 / 11 / 13 / 18,0 / 0 / 0 / 0,,24.0,,,,,,,,,,,,,,,,,,,
La Noscean Leek,5 / 6 / 7 / 10,1 / 2 / 3 / 5,,48.0,,,,,,,,,,,,,,,,,,,
La Noscean Lettuce,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
La Noscean Orange,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Lavender,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Levinlight,50 / 65 / 80 / 100,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Lily of the Valley,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Linseed,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Lowland Grape,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Mamook Pear,18 / 23 / 27 / 36,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Mandragora Queen,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Mandrake,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Midland Basil,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Midland Cabbage,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Millioncorn,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Mimett Gourd,9 / 11 / 13 / 18,1 / 3 / 5 / 9,,48.0,,,,,,,,,,,,,,,,,,,
Mirror Apple,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Nymeia Lily,1 / 1 / 1 /1,1 / 1 / 1 / 1,,36.0,,,,,,,,,,,,,,,,,,,
O'Ghomoro Berry,18 / 23 / 27 / 36,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Old World Fig,3 / 3 / 4 / 6,0 / 0 / 0 / 0,,48.0,,,,,,,,,,,,,,,,,,,
Oldrose,1 / 1 / 1 / 1,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Olive,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Onion Prince,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Pahsana Fruit,9 / 11 / 13 / 18,1 / 3 / 5 / 9,,48.0,,,,,,,,,,,,,,,,,,,
Paprika,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Pearl Ginger Root,12 / 15 / 18 /24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Pearl Roselle,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,36.0,,,,,,,,,,,,,,,,,,,
Pearl Sprout,3 / 3 / 4 / 6,0 / 0 / 0 / 0,,48.0,,,,,,,,,,,,,,,,,,,
PixiePlum,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Popoto Set,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Prickly Pineapple,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Rolanberry,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Royal Fern,1 / 1 / 1 / 2,1 / 1 / 1 / 2,,24.0,,,,,,,,,,,,,,,,,,,
Royal Kukuru,5 / 6 / 7 / 10,1 / 2 / 3 / 5,,36.0,,,,,,,,,,,,,,,,,,,
Shroud Cherry,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Shroud Tea,5 / 6 / 7 / 10,1 / 2 / 3 / 5,,36.0,,,,,,,,,,,,,,,,,,,
Star Anise,5 / 6 / 7 / 10,1 / 2 / 3 / 5,,48.0,,,,,,,,,,,,,,,,,,,
Sun Lemon,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Sylkis Bud,9 / 11 / 13 / 18,1 / 3 / 5 / 9,,48.0,,,,,,,,,,,,,,,,,,,
Tantalplant,9 / 11 / 13 / 18,1 / 3 / 5 / 9,,48.0,,,,,,,,,,,,,,,,,,,
Thavnairian Onion,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Tomato King,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Tulip,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Umbrella Fig,1 / 1 / 1 / 1,1 / 1 / 1 / 1,,24.0,,,,,,,,,,,,,,,,,,,
Valfruit,18 / 23 / 27 / 36,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Viola,1 / 1 / 1 / 2,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Voidrake,2 / 3 / 3 / 3,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Waterlight,50 / 65 / 80 / 100,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Wild Onion Set,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Windlight,50 / 65 / 80 / 100,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
Wizard Eggplant,12 / 15 / 18 / 24,1 / 4 / 6 / 12,,48.0,,,,,,,,,,,,,,,,,,,
Xelphatol Apple,18 / 23 / 27 / 36,0 / 0 / 0 / 0,,-,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
